easy,medium,hard,uniform,independent
3.5289999999994506,4.024975,3.8463200000000075,3.4841923878197116,3.3694423035672
3.598319999999284,4.05735,3.8875199999999865,3.528810896257231,3.4021132620758463
3.61371999999928,4.08215,3.925560000000025,3.551971571557364,3.43078210542358
3.6291999999992606,4.103325,3.9613100000000236,3.5740842923278446,3.457459127110335
3.637999999999252,4.125825,3.9993800000000133,3.59486816533065,3.4838246006643065
3.645479999999246,4.151875,4.03866000000001,3.615249428106177,3.510707771800588
3.6759199999991923,4.17445,4.074570000000021,3.6536222695579266,3.540316114094664
3.684079999999197,4.1975,4.110780000000028,3.6745539119721697,3.5675196291731894
3.6903999999991997,4.223,4.149019999999998,3.6956149332578403,3.5942100532579424
3.7247199999992504,4.247375,4.187010000000002,3.722114145093528,3.6221901723167167
3.7334799999992487,4.272875,4.2217400000000245,3.7423413696551036,3.646905977507922
3.743799999999247,4.301475,4.258640000000044,3.763705007475797,3.6734623227068908
3.754959999999239,4.328475,4.297250000000034,3.8063694212389243,3.7032483658484816
3.7601599999992423,4.352825,4.332650000000033,3.8265845505305647,3.729201476006725
3.765199999999249,4.376225,4.365750000000026,3.8452671414494626,3.753026474777748
3.769919999999254,4.4003,4.402030000000036,3.8649424269902477,3.7777257849364236
3.7755999999992578,4.4244,4.437610000000039,3.907584288844307,3.8065093015752383
3.7808399999992623,4.44955,4.471190000000036,3.9285487801650283,3.8306237570374004
3.7875599999992664,4.4709,4.506480000000024,3.9488523929967903,3.8551793949891215
3.821599999999314,4.493775,4.542330000000016,3.972040318798506,3.882206959629339
3.829079999999312,4.517675,4.576620000000018,3.990588099344446,3.906419696809534
3.838119999999312,4.54355,4.610840000000015,4.0345540055085705,3.936795083588706
3.842959999999316,4.5635,4.645620000000003,4.053222418794401,3.9594393445833913
3.848559999999323,4.581825,4.679910000000012,4.071385602247041,3.9822701229976447
3.853919999999331,4.6016,4.712900000000013,4.088595048779993,4.005509922464281
3.8596399999993336,4.623675,4.747060000000024,4.10690839143331,4.029126292208957
3.864879999999335,4.6468,4.781240000000026,4.126148519044132,4.053185219610348
3.8709199999993418,4.669875,4.8142800000000125,4.144941278936394,4.075856077158441
3.8921599999993743,4.692075,4.84736000000002,4.167345520496082,4.1007197133284246
3.9184799999994144,4.71425,4.880839999999996,4.193044385209046,4.127338093942069
